n_notes,scale_no,mode_name,semitones,successive_semitones,scale_id,scale_bits
3,1,Minoric,"[4, 4, 4]",[0 4 8],2184,0b100010001000
4,1,Thaptic,"[4, 3, 4, 1]",[ 0  4  7 11],2193,0b100010010001
4,1,Lothic,"[3, 4, 1, 4]",[0 3 7 8],2328,0b100100011000
4,1,Phratic,"[4, 1, 4, 3]",[0 4 5 9],2244,0b100011000100
4,1,Aerathic,"[1, 4, 3, 4]",[0 1 5 8],3144,0b110001001000
4,2,Epathic,"[4, 3, 2, 3]",[0 4 7 9],2196,0b100010010100
4,2,Mynic,"[3, 2, 3, 4]",[0 3 5 8],2376,0b100101001000
4,2,Rothic,"[2, 3, 4, 3]",[0 2 5 9],2628,0b101001000100
4,2,Eporic,"[3, 4, 3, 2]",[ 0  3  7 10],2322,0b100100010010
4,3,Zyphic,"[4, 4, 3, 1]",[ 0  4  8 11],2185,0b100010001001
4,3,Epogic,"[4, 3, 1, 4]",[0 4 7 8],2200,0b100010011000
4,3,Lanic,"[3, 1, 4, 4]",[0 3 4 8],2440,0b100110001000
4,3,Pyrric,"[1, 4, 4, 3]",[0 1 5 9],3140,0b110001000100
4,4,Aeoloric,"[4, 4, 1, 3]",[0 4 8 9],2188,0b100010001100
4,4,Gonic,"[4, 1, 3, 4]",[0 4 5 8],2248,0b100011001000
4,4,Dalic,"[1, 3, 4, 4]",[0 1 4 8],3208,0b110010001000
4,4,Dygic,"[3, 4, 4, 1]",[ 0  3  7 11],2321,0b100100010001
4,5,Daric,"[4, 3, 3, 2]",[ 0  4  7 10],2194,0b100010010010
4,5,Lonic,"[3, 3, 2, 4]",[0 3 6 8],2344,0b100100101000
4,5,Phradic,"[3, 2, 4, 3]",[0 3 5 9],2372,0b100101000100
4,5,Bolic,"[2, 4, 3, 3]",[0 2 6 9],2596,0b101000100100
4,6,Saric,"[4, 2, 3, 3]",[0 4 6 9],2212,0b100010100100
4,6,Zoptic,"[2, 3, 3, 4]",[0 2 5 8],2632,0b101001001000
4,6,Aeraphic,"[3, 3, 4, 2]",[ 0  3  6 10],2338,0b100100100010
4,6,Byptic,"[3, 4, 2, 3]",[0 3 7 9],2324,0b100100010100
4,7,Aeolic,"[4, 4, 2, 2]",[ 0  4  8 10],2186,0b100010001010
4,7,Koptic,"[4, 2, 2, 4]",[0 4 6 8],2216,0b100010101000
4,7,Mixolyric,"[2, 2, 4, 4]",[0 2 4 8],2696,0b101010001000
4,7,Lydic,"[2, 4, 4, 2]",[ 0  2  6 10],2594,0b101000100010
