scale_id,scale_bits,note_count,tonic_position,dissonance_index,name,theory_name,alt_name,flatmost,sharpmost,aug_triads, dim_triads, maj_triads, min_triads,notation,notes_in_steps_of_fifths,rotation_id,circular_distance
2398,100100011000,4,4,5.6667,C minor (#5) chord,,Chord Cm #12,Eb,G#,,,,Cm,1 3b 5 5# .,Eb-x-x-C-G-x-x-x-x-x-x-G#,31070,0
2197,100010010101,5,1,2.6,Raga Mamata (India) Major 6th,Aerathitonic,,C,B,,,C, Em Am,1 3 5 6 7 .,C-G-x-A-E-B,22677,0
2213,100010100101,5,1,2.8,Raga Hindol (India),Daritonic,,C,F#,,,, Am,1 3 4# 6 7 .,C-x-x-A-E-B-F#,22693,0
2217,100010101001,5,1,3.6,,Kagitonic,,C,G#,C+,, E,,1 3 4# 5# 7 .,C-x-x-x-E-B-F#-x-G#,22697,0
2225,100010110001,5,1,3.2,Raga Malashri (India) & Chinese,Gonitonic,,C,F#,,,C, Em,1 3 4# 5 7 .,C-G-x-x-E-B-F#,22705,0
2346,100100101010,5,1,4.6,Raga Harikauns (India) (Sharps),,,C,A#,,,, D#m,1 2# 4# 5# 6# .,C-x-x-x-x-x-F#-x-G#-D#-A#,22826,0
2353,100100110001,5,1,4.6,Raga Multani (India),Lycritonic,,C,D#, G+,, B,,1 2# 4# 5 7 .,C-G-x-x-x-B-F#-x-x-D#,22833,0
2612,101000110100,5,1,2.8,Raga Shri Kalyan,,,C,F#,,, D,,1 2 4# 5 6 .,C-G-D-A-x-x-F#,23092,0
2708,101010010100,5,1,2.0,Major Pentatonic,,"Chord C69 - Gong (China) Raga Bhopali, Mohanam, Deskar, Bilahari (India)",C,E,,,C, Am,1 2 3 5 6 .,C-G-D-A-E,23188,0
3217,110010010001,5,1,3.6,,Molitonic,,C,C#,, C#dim,C, Em,1 1# 3 5 7 .,C-G-x-x-E-B-x-C#,23697,0
3248,110010110000,5,1,5.9,Balinese Pentatonic (as 11/23458911/6 in 12edo),,,C,C#,, C#dim,C,,1 1# 3 4# 5 .,C-G-x-x-E-x-F#-C#,23728,0
3872,111100100000,5,1,4.6,Blues Pentacluster,,,C,D#,,,,,1 1# 2 2# 4# .,C-x-D-x-x-x-F#-C#-x-D#,24352,0
3904,111101000000,5,1,5.4,Blues PentaCluster 2b’s 1#,,,F,D#,,,,,1 1# 2 2# 4 .,F-C-x-D-x-x-x-x-C#-x-D#,24384,0
3968,111110000000,5,1,4.6,Chromatic PentaMirror,,,C,D#,,,,,1 1# 2 2# 3 .,C-x-D-x-E-x-x-C#-x-D#,24448,0
2249,100011001001,5,2,4.6,Romanian Bacovia,Kygitonic,,F,G#,C+,, E,,1 3 4 5# 7 .,F-C-x-x-x-E-B-x-x-G#,22833,5
2258,100011010010,5,2,5.2,Mixolydian Pentatonic????,,,F,A#,,,C,,1 3 4 5 6# .,F-C-G-x-x-E-x-x-x-x-x-A#,23092,10
2378,100101001010,5,2,6.2,Raga Malkauns,,"Blues Pentatonic Minor, Hard Japan descending 3#’s",F,A#,,,,,1 2# 4 5# 6# .,F-C-x-x-x-x-x-x-x-G#-D#-A#,23188,8
2644,101001010100,5,2,2.0,"Ritusen Japan, Scottish Pentatonic (as Slendro example)",,Zhi (China) Raga Devakriya (India) Ujo (Korea),F,A,,, F, Dm,1 2 4 5 6 .,F-C-G-D-A,23188,5
3520,110111000000,5,2,5.4,Spanish Pentacluster,,,F,D#,,,,,1 1# 2# 3 4 .,F-C-x-x-x-E-x-x-C#-x-D#,24000,0
2378,100101001010,5,3,6.2,Raga Malkauns,,"Blues Pentatonic Minor, Hard Japan descending ",Bb,D#,,,,,1 2# 4 5# 7b .,Bb-F-C-x-x-x-x-x-x-x-G#-D#,23188,8
2642,101001010010,5,3,2.0,"Egyptian , Suspended Pentatonic",,,Bb,D,,, Bb, Gm,1 2 4 5 7b .,Bb-F-C-G-D,23188,10
2378,100101001010,5,4,4.8,Raga Malkauns,,"2b’s 1# Blues Pentatonic Minor, Hard Japan descending ",Eb,G#,,,,,1 3b 4 5# 7b .,Eb-Bb-F-C-x-x-x-x-x-x-x-G#,23188,8
2378,100101001010,5,4,7.0,Raga Malkauns ,,"Blues Pentatonic Minor, Hard Japan descending ",Eb,A#,,,,,1 3b 4 5# 6# .,Eb-x-F-C-x-x-x-x-x-x-x-G#-x-A#,23188,8
