scale_id,scale_bits,rotation_id,circular_distance,note_count,name
2197,100010010101,22677,0,5,"Raga Mamata (India), Major 6th, Aerathitonic"
2213,100010100101,22693,0,5,"Raga Hindol (India), Daritonic"
3154,110001010010,22693,1,5,"Kokin-Joshi (Japan), Japanese Soft Ascend, Miyakobushi (Japan)"
2836,101100010100,22693,3,5,"Dorian Pentatonic, Kumoi (Japan), Akebono (Japan)"
2648,101001011000,22693,8,5,Han kumoi (Japan)
2217,100010101001,22697,0,5,Kagitonic
3156,110001010100,22697,1,5,Altered Pentatonic
2225,100010110001,22705,0,5,"Raga Malashri (India), Chinese, Gonitonic"
3160,110001011000,22705,1,5,"Japanese, Sakura Pentatonic Soft Descend"
3170,110001100010,22705,6,5,Iwato (Japan)
2840,101100011000,22705,8,5,Hirajoshi (Japan)
2346,100100101010,22826,0,5,Raga Harikauns (India)
2388,100101010100,22826,9,5,"Minor 6th Added, Minor Added Sixth Pentatonic"
2353,100100110001,22833,0,5,"Raga Multani (India), Lycritonic"
2249,100011001001,22833,5,5,"Romanian Bacovia, Kygitonic"
2612,101000110100,23092,0,5,Raga Shri Kalyan
2258,100011010010,23092,10,5,Mixolydian Pentatonic
2708,101010010100,23188,0,5,"Major Pentatonic, Gong (China), Raga Bhopali (India), Mohanam, Deskar, Bilahari (India)"
2644,101001010100,23188,5,5,"Ritusen (Japan), Scottish Pentatonic, Zhi (China), Raga Devakriya (India), Ujo (Korea)"
2378,100101001010,23188,8,5,"Raga Malkauns, Blues Pentatonic Minor, Hard Japan descending"
2642,101001010010,23188,10,5,"Egyptian, Suspended Pentatonic"
3217,110010010001,23697,0,5,Molitonic
2339,100100100011,23697,11,5,"Half Diminished plus b8, Ragitonic"
3248,110010110000,23728,0,5,Balinese Pentatonic
2401,100101100001,23728,11,5,Blues #V"
3520,110111000000,24000,0,5,Spanish Pentacluster
3872,111100100000,24352,0,5,Blues Pentacluster
3968,111110000000,24448,0,5,Chromatic PentaMirror
2709,101010010101,27285,0,6,"Lydian Hexatonic, Thaptimic, Chord CMaj769"
2646,101001010110,27285,10,6,"Mixolydian Hexatonic, Yosen (Japan), Raga Darbar (India), Narayani, Suposhini (India)"
2716,101010011100,27292,0,6,Major Bebop Hexatonic
2729,101010101001,27305,0,6,"Eskimo Hexatonic 2 (North America), Aeragimic"
2730,101010101010,27306,0,6,"Whole tone, Raga Gopriya (India), Anhemitonic Hexatonic, Auxillary Augmented, Messiaen 1st Mode"
2857,101100101001,27433,0,6,"Takemitsu Tree Line, Stythimic"
3476,110110010100,27433,1,6,Blues Dorian Hexatonic
3238,110010100110,27433,10,6,Prometheus Neapolitan
2964,101110010100,27540,0,6,"Major Blues, Blues Dorian Hexatonic"
2418,100101110010,27540,3,6,Blues Minor 
3173,110001100101,27749,0,6,Zarimic
2417,100101110001,27749,6,6,"Blues Minor Maj7, Kanimic"
3276,110011001100,27852,0,6,"Messiaen Truncated Mode 3"
2457,100110011001,27852,3,6,"Augmented, Messiaen Truncated Mode 3 2457Inverse, Ionythimic, Genus tertium Raga Devamani"
4032,111111000000,28608,0,6,Chromatic HexaMirror
2398,100100011000,31070,0,4,"Minor Chord"
3371,110100101011,31070,3,7,"Enigmatic Minor, Aeolylian"
2422,100101110110,31094,0,7,Blues Heptatonic
2777,101011011001,31449,0,7,"Harmonic Major, Ethiopian, Nat Bhairava, Bycrian"
2477,100110101101,31449,4,7,"Mydian"
3286,110011010110,31449,5,7,"Harmonic Minor Inverse, Bhairav, Maqam Hicaz (Arabia)"
2869,101100110101,31449,7,7,"Lydian Diminished, Phrothian, Raga Dumyaraga (India), Madhuvanti, Ambika (India)"
3289,110011011001,31961,0,7,"Gipsy Major, Hungarian Folk, Byzantine Major Gypsy, Loptian, Bhairav Thaat (India), Mela Mayamalavagaula (India), Raga Paraj (India), Hitzazkiar (Greece)"
3302,110011100110,31961,5,7,"Oriental 1, Tsinganikos (Greece), Raga Ahira Lalita (India)"
2873,101100111001,31961,7,7,"Hungarian Minor, Docrian, Maqam Nawa Athar (Arabia), Double Harmonic Minor, Niavent (Greece)"
2483,100110110011,31961,11,7,"Mela Rasikapriya (India), Aerynian"
2905,101101011001,31577,0,7,"Harmonic Minor, Palian"
2485,100110110101,31577,4,7,"Lydian #2 Raga Kuksumakaram , Aerorian"
3290,110011011010,31577,5,7,"Phrygian Dominant, Dorico Flamenco, Avaha Raba, Spanish Folk, Jewish Major, Alhijaz (Arabia), Ahavh Rabbah (Israel), Hitzaz (Greece), Spanish Gypsy"
2870,101100110110,31577,7,7,"Romanian, Gnossiennes, Ukrainian minor Raja, Dorian with a sharp fourth"
2765,101011001101,31577,9,7,"Harmonic Major 2, Ionian #5, Banian"
2518,100111010110,31190,0,7,"Rock'n Roll, Raga Nandkauns (India)"
2731,101010101011,31403,0,7,"Leading Whole-Tone, Thydian"
3413,110101010101,31403,1,7,"Neapolitan Major, Aeolynian, Mela Kokilapriya (India), Raga Kokilaravam (India)"
2794,101011101010,31403,6,7,Major Locrian
2746,101010111010,31403,8,7,"Lydian Minor, Stravinski Raga Ratipriya (India)"
2778,101011011010,31450,0,7,"Melodic Major, Major Minor, Hindu bVI & bVII, Mela Carukesi (India), Raga Tarangini (India)"
2742,101010110110,31450,2,7,"Overtone, Lydian bVIIth, Hindi #IV & bVII, Mela Vacaspati (India), Raga Bhusavati (India), Lydian Mixolydian, Bartok"
2733,101010101101,31450,4,7,"Lydian Augmented, Hindi #IV & #V, Bocrian"
3414,110101010110,31450,5,7,"Altered, Jazz Minor Inverse, Javanese, Dorian bII, HIndi"
2901,101101010101,31450,7,7,"Melodic Minor, Larian, Jazz Minor"
3498,110110101010,31450,8,7,"Superlocrian, Diminished Whole-Tone, Lydian Augmented, Hindi 5 flats & bIV, Super Locrian 6 flats"
2922,101101101010,31450,10,7,"Minor Locrian, Hindi 3 flats and bV"
3417,110101011001,32089,0,7,"Neapolitan Minor, Golian, Raga Dhunibinnashadjam (India), Maqam Shahnaz Kurdi (Arabia)"
2739,101010110011,32089,11,7,"Mela Citrambari (India), Zanian"
2517,100111010101,32089,4,7,"Houzam (Greece), Raga Saildesakshi, Trishuli (India), Ryphian"
2766,101011001110,32089,9,7,Mixolydian Augmented
2773,101011010101,31445,0,7,"Major, Ionian, Bilaval, Nid Murub (Sumerian), Nid Murub (Sumerian)"
3434,110101101010,31445,1,7,"Locrian, Qablitum (Sumerian)"
2906,101101011010,31445,3,7,"Natural Minor, Aeolian, Gregorian 2, Assari Thaat (India), Se (China), Kitmun (Sumarian)"
2774,101011010110,31445,5,7,"Mixolydian, Ching (China), Mitum (Sumerian), Gregorian 7, Khamaj (India)"
2741,101010110101,31445,7,7,"Lydian, Kalyan, IonianPing (China), Nis Garb.ri (Mesopotamian)"
3418,110101011010,31445,8,7,"Phrygian, Bhairavi, Ishartum (Sumerian), Ousak (Greece), Gregorian 3"
2902,101101010110,31445,10,7,"Dorian, Eskimo Heptatonic (N. America), Kafi Thaat (India), Embulum (Sumerian)"
2745,101010111001,31417,0,7,"Mela Latangi (India), Dolian"
